project,table,variable,full_name,label,value_type,description,categories,categories_label
BiB_StartingSchool,stschool_ckat,ssckatraim08baseTPS8,BiB_StartingSchool.stschool_ckat.ssckatraim08baseTPS8,Aiming Baseline (Aim Number: 7 of 50) Time to Peak Speed,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim09baseDT9,BiB_StartingSchool.stschool_ckat.ssckatraim09baseDT9,Aiming Baseline (Aim Number: 8 of 50) Deceleration Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim09baseMT9,BiB_StartingSchool.stschool_ckat.ssckatraim09baseMT9,Aiming Baseline (Aim Number: 8 of 50) Movement Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim09baseNJ9,BiB_StartingSchool.stschool_ckat.ssckatraim09baseNJ9,Aiming Baseline (Aim Number: 8 of 50) Normalised Jerk,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim09basePL9,BiB_StartingSchool.stschool_ckat.ssckatraim09basePL9,Aiming Baseline (Aim Number: 8 of 50) Path Length,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim09basePLT9,BiB_StartingSchool.stschool_ckat.ssckatraim09basePLT9,Aiming Baseline (Aim Number: 8 of 50) Path Length Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim09basePS9,BiB_StartingSchool.stschool_ckat.ssckatraim09basePS9,Aiming Baseline (Aim Number: 8 of 50) Peak Speed,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim09baseRT9,BiB_StartingSchool.stschool_ckat.ssckatraim09baseRT9,Aiming Baseline (Aim Number: 8 of 50) Reaction Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim09baseTPS9,BiB_StartingSchool.stschool_ckat.ssckatraim09baseTPS9,Aiming Baseline (Aim Number: 8 of 50) Time to Peak Speed,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim10baseDT10,BiB_StartingSchool.stschool_ckat.ssckatraim10baseDT10,Aiming Baseline (Aim Number: 9 of 50) Deceleration Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim10baseMT10,BiB_StartingSchool.stschool_ckat.ssckatraim10baseMT10,Aiming Baseline (Aim Number: 9 of 50) Movement Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim10baseNJ10,BiB_StartingSchool.stschool_ckat.ssckatraim10baseNJ10,Aiming Baseline (Aim Number: 9 of 50) Normalised Jerk,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim10basePL10,BiB_StartingSchool.stschool_ckat.ssckatraim10basePL10,Aiming Baseline (Aim Number: 9 of 50) Path Length,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim10basePLT10,BiB_StartingSchool.stschool_ckat.ssckatraim10basePLT10,Aiming Baseline (Aim Number: 9 of 50) Path Length Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim10basePS10,BiB_StartingSchool.stschool_ckat.ssckatraim10basePS10,Aiming Baseline (Aim Number: 9 of 50) Peak Speed,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim10baseRT10,BiB_StartingSchool.stschool_ckat.ssckatraim10baseRT10,Aiming Baseline (Aim Number: 9 of 50) Reaction Time,decimal,,,
